season,for_week,team,unit_type,ideal_value
1999,3,KC,pass_off,-0.45642110406279984
1999,3,KC,rush_def,0.7432343404574173
1999,3,KC,rush_off,2.65802465563983
1999,3,KC,st_def,-0.05858546189796859
1999,3,KC,st_off,-0.021271524782576753
1999,3,LAC,pass_def,14.050865722657033
1999,3,LAC,pass_off,1.6249051583308285
1999,3,LAC,rush_def,5.459718876759781
1999,3,LAC,rush_off,-3.078192981693858
1999,3,LAC,st_def,1.0323031615498361
1999,3,LAC,st_off,3.191629547770505
1999,3,MIA,pass_def,-1.0852913095876362
1999,3,MIA,pass_off,4.717847924959658
1999,3,MIA,rush_def,-2.756492963493756
1999,3,MIA,rush_off,0.9228922133152333
1999,3,MIA,st_def,0.8615711157752249
1999,3,MIA,st_off,0.3933990455175515
1999,3,MIN,pass_def,-8.322102106268536
1999,3,MIN,pass_off,5.75055068327707
1999,3,MIN,rush_def,2.9989526248317944
1999,3,MIN,rush_off,-4.760077451206223
1999,3,MIN,st_def,0.6378359455799988
1999,3,MIN,st_off,-3.98019751358658
1999,3,NE,pass_def,-0.990717282681484
1999,3,NE,pass_off,10.547981798433316
1999,3,NE,rush_def,-1.9948342621486628
1999,3,NE,rush_off,-4.346327314220931
1999,3,NE,st_def,0.02115442989583559
1999,3,NE,st_off,0.44417486612972307
1999,3,NO,pass_def,3.031276481535925
1999,3,NO,pass_off,-0.14909136238519383
1999,3,NO,rush_def,-0.7809226959730484
1999,3,NO,rush_off,-4.082070918497234
1999,3,NO,st_def,0.1580962886386666
1999,3,NO,st_off,-0.5133304285688213
1999,3,NYG,pass_def,2.806071015384658
1999,3,NYG,pass_off,-8.804873881837793
1999,3,NYG,rush_def,-0.12252717045379583
1999,3,NYG,rush_off,-5.11140105486848
1999,3,NYG,st_def,-2.0274580130449253
1999,3,NYG,st_off,3.235861979039517
1999,3,NYJ,pass_def,-3.8136273388140673
1999,3,NYJ,pass_off,-1.2725694847686384
1999,3,NYJ,rush_def,-1.9722359763125252
1999,3,NYJ,rush_off,2.1849473935240735
1999,3,NYJ,st_def,1.4546721445899877
1999,3,NYJ,st_off,-0.11269628906556856
1999,3,OAK,pass_def,1.4839713992543802
1999,3,OAK,pass_off,5.279477752074323
1999,3,OAK,rush_def,-0.22229560685223423
1999,3,OAK,rush_off,1.0336548823776783
1999,3,OAK,st_def,0.42664657005982204
1999,3,OAK,st_off,-2.0975237537359757
1999,3,PHI,pass_def,-13.34897359219752
1999,3,PHI,pass_off,-13.700607498145807
1999,3,PHI,rush_def,0.7533173111332926
1999,3,PHI,rush_off,2.736496010040575
1999,3,PHI,st_def,0.11377682508256767
1999,3,PHI,st_off,-0.8891552949883674
1999,3,PIT,pass_def,2.372565376146234
1999,3,PIT,pass_off,11.202585957463874
1999,3,PIT,rush_def,-0.31939712483086485
1999,3,PIT,rush_off,5.531877413219443
1999,3,PIT,st_def,0.06698084198890437
1999,3,PIT,st_off,0.8446620517514515
1999,3,SEA,pass_def,3.2718524468107737
1999,3,SEA,pass_off,5.1633413102957135
1999,3,SEA,rush_def,-0.9087790216453429
1999,3,SEA,rush_off,-2.2193705009890183
1999,3,SEA,st_def,-0.9315643480560737
1999,3,SEA,st_off,-4.053810420788829
1999,3,SF,pass_def,-3.8561117680238723
1999,3,SF,pass_off,-6.169839941116047
1999,3,SF,rush_def,4.854330899695306
1999,3,SF,rush_off,0.039883439644871066
1999,3,SF,st_def,-1.7639975169436388
1999,3,SF,st_off,-0.22919990306746846
1999,3,TB,pass_def,1.950186071798317
1999,3,TB,pass_off,-14.170886341958475
1999,3,TB,rush_def,1.2999184099770105
1999,3,TB,rush_off,-1.6013649093054758
1999,3,TB,st_def,0.5068377244321145
1999,3,TB,st_off,2.183875631543504
1999,3,TEN,pass_def,-13.921332496057392
1999,3,TEN,pass_off,6.243207391130468
1999,3,TEN,rush_def,-2.7218134522030497
1999,3,TEN,rush_off,1.2607080216437978
1999,3,TEN,st_def,-1.8544504906043577
1999,3,TEN,st_off,1.5830879178288055
1999,3,WAS,pass_def,-11.684840526499421
1999,3,WAS,pass_off,20.450422872992174
1999,3,WAS,rush_def,-5.876534982576721
1999,3,WAS,rush_off,6.0966811271249135
1999,3,WAS,st_def,-0.941834420751041
1999,3,WAS,st_off,-0.020208203750822648
1999,4,ARI,pass_def,0.7420952899164691
1999,4,ARI,pass_off,-9.892878271781191
1999,4,ARI,rush_def,-0.09742796862748608
1999,4,ARI,rush_off,-4.92169831470612
1999,4,ARI,st_def,-1.1331403844829606
1999,4,ARI,st_off,0.7662992809753758
1999,4,ATL,pass_def,-4.134866467920463
1999,4,ATL,pass_off,-2.485681684325577
1999,4,ATL,rush_def,2.475698530457936
1999,4,ATL,rush_off,-1.4794483724033418
1999,4,ATL,st_def,2.0198269846033945
1999,4,ATL,st_off,-0.8945058690547992
1999,4,BAL,pass_def,-0.438857654296763
1999,4,BAL,pass_off,-6.179015685832236
1999,4,BAL,rush_def,0.45102946788764786
1999,4,BAL,rush_off,-1.2389950142634676
1999,4,BAL,st_def,-1.3785433943511844
1999,4,BAL,st_off,2.6458149455053506
1999,4,BUF,pass_def,2.504127066237399
1999,4,BUF,pass_off,-0.07615218112769272
1999,4,BUF,rush_def,3.6019523369067894
1999,4,BUF,rush_off,1.0606570262607389
1999,4,BUF,st_def,0.5626870304124227
1999,4,BUF,st_off,-2.2887522528029303
1999,4,CAR,pass_def,0.3521851890937319
1999,4,CAR,pass_off,7.3700765108170625
1999,4,CAR,rush_def,-5.0587308509690825
1999,4,CAR,rush_off,3.3738066149046295
1999,4,CAR,st_def,2.2814665987207867
1999,4,CAR,st_off,1.9185676144531236
1999,4,CHI,pass_def,-1.9504399256580336
1999,4,CHI,pass_off,-5.992607820219271
1999,4,CHI,rush_def,-0.4155171465254203
1999,4,CHI,rush_off,1.6612671986721192
1999,4,CHI,st_def,1.8843109809151257
1999,4,CHI,st_off,-1.7232209816244968
1999,4,CIN,pass_def,-0.6906715445603795
1999,4,CIN,pass_off,-5.879921752305884
1999,4,CIN,rush_def,0.4226189540038003
1999,4,CIN,rush_off,0.2961670922933978
1999,4,CIN,st_def,-2.0130289884563752
1999,4,CIN,st_off,-2.33422501110749
1999,4,CLE,pass_def,-8.496388127065439
1999,4,CLE,pass_off,-15.768552012653618
1999,4,CLE,rush_def,-1.76424700808525
1999,4,CLE,rush_off,2.311312272502163
1999,4,CLE,st_def,0.5440449859151771
